school_norm,name_norm,profile_url,country_code,year
montana state,jett grundy,https://www.tfrrs.org/athletes/8681039/Montana_State/Jett_Grundy.html,AUS,2023
mount st mary s,nando meggs,https://www.tfrrs.org/athletes/8669634/Mount_St_Marys/Nando_Meggs.html,JAM,2023
mount st mary s,alexe gauthier,https://www.tfrrs.org/athletes/8669639/Mount_St_Marys/Alexe_Gauthier.html,CAN,2023
mount st mary s,madelyn valpy,https://www.tfrrs.org/athletes/8327219/Mount_St_Marys/Madelyn_Valpy.html,CAN,2022
nc state,hannah gapes,https://www.tfrrs.org/athletes/8242190/North_Carolina_St/Hannah_Gapes.html,NZL,2022
navy,william pierce,https://www.tfrrs.org/athletes/8669888/Navy/William_Pierce.html,BEL,2023
new mexico st,amanda radava,https://www.tfrrs.org/athletes/8585607/New_Mexico_State/Amanda_Radava.html,LVA,2023
niagara,hannah adderley julien,https://www.tfrrs.org/athletes/8235885/Niagara/Hannah_Adderley-Julien.html,CAN,2023
niagara,mychena smith,https://www.tfrrs.org/athletes/8235884/Niagara/Mychena_Smith.html,CAN,2023
north texas,akeel hanchard,https://www.tfrrs.org/athletes/8111789/North_Texas/Akeel_Hanchard.html,JAM,2021
northeastern,patrick cantlon,https://www.tfrrs.org/athletes/8250220/Northeastern/Patrick__Cantlon.html,AUS,2022
northern arizona,kang nyoak,https://www.tfrrs.org/athletes/7739881/Northern_Arizona/Kang_Nyoak.html,AUS,2021
northern arizona,keira moore,https://www.tfrrs.org/athletes/8378760/Northern_Arizona/Keira__Moore.html,AUS,2023
northern arizona,nikita moore,https://www.tfrrs.org/athletes/8019598/Northern_Arizona/Nikita__Moore.html,AUS,2022
northern iowa,tinashe chigudu,https://www.tfrrs.org/athletes/8328775/Northern_Iowa/Tinashe__Chigudu.html,ZWE,2022
northern iowa,micaiah ellis,https://www.tfrrs.org/athletes/8268123/Northern_Iowa/Micaiah_Ellis.html,CAN,2022
northwestern st,tarajh hudson,https://www.tfrrs.org/athletes/8014768/Northwestern_St/Tarajh_Hudson.html,BHS,2022
northwestern st,mikkel johansson,https://www.tfrrs.org/athletes/8367334/Northwestern_St/Mikkel_Johansson.html,DNK,2023
oakland,blake foster,https://www.tfrrs.org/athletes/8332722/Oakland/Blake__Foster_.html,CAN,2022
oakland,justice stewart,https://www.tfrrs.org/athletes/8680161/Oakland/Justice__Stewart.html,CAN,2023
oakland,abby jackson,https://www.tfrrs.org/athletes/8337126/Oakland/Abby__Jackson_.html,CAN,2022
oklahoma,thobias cheruiyot,https://www.tfrrs.org/athletes/8739214/Oklahoma/Thobias_Cheruiyot.html,KEN,2023
oklahoma,ralford mullings,https://www.tfrrs.org/athletes/7930060/Oklahoma/Ralford__Mullings_.html,JAM,2023
oklahoma,eva kubickova,https://www.tfrrs.org/athletes/8283674/Oklahoma/Eva_Kubickova.html,CZE,2022
oklahoma,angel richmore,https://www.tfrrs.org/athletes/8714200/Oklahoma/Angel_Richmore.html,SWE,2023
oklahoma,tuane silver,https://www.tfrrs.org/athletes/8676320/Oklahoma/Tuane_Silver.html,NAM,2023
oklahoma state,katie chapman,https://www.tfrrs.org/athletes/8312003/Oklahoma_State/Katie_Chapman.html,GBR,2022
oklahoma state,billah jepkirui,https://www.tfrrs.org/athletes/8285251/Oklahoma_State/Billah_Jepkirui.html,KEN,2022
oklahoma state,victoria lagat,https://www.tfrrs.org/athletes/8647597/Oklahoma_State/Victoria__Lagat.html,KEN,2023
oklahoma state,jinane mahi,https://www.tfrrs.org/athletes/8237632/Oklahoma_State/Jinane_Mahi.html,FRA,2022
oklahoma state,mandeep sangha,https://www.tfrrs.org/athletes/8594889/Oklahoma_State/Mandeep__Sangha.html,CAN,2023
ole miss,beth arentz,https://www.tfrrs.org/athletes/7728208/Mississippi/Beth_Arentz.html,AUS,2023
ole miss,sophie baumann,https://www.tfrrs.org/athletes/8259503/Mississippi/Sophie_Baumann.html,CHE,2023
oral roberts,abraham chelangam,https://www.tfrrs.org/athletes/8581535/Oral_Roberts/Abraham_Chelangam.html,UGA,2023
oral roberts,cornelius kipkogei,https://www.tfrrs.org/athletes/8703659/Oral_Roberts/Cornelius_Kipkogei.html,KEN,2023
oral roberts,artwell magake,https://www.tfrrs.org/athletes/8703660/Oral_Roberts/Artwell_Magake.html,ZWE,2023
oral roberts,woedem vasmark voegborlo,https://www.tfrrs.org/athletes/8812786/Oral_Roberts/Woedem_Vasmark-Voegborlo.html,GHA,2023
oregon,matthew erickson,https://www.tfrrs.org/athletes/7892016/Oregon/Matthew_Erickson.html,CAN,2021
